"hitNum","originalMatrix","filenameTrial1","levelTrial1","stimSingularTrial1","stimPluralTrial1","targetReferentTrial1","distractorReferentTrial1","otherReferentTrial1","targetFeatureTrial1","check1NameTrial1","check1CountTrial1","check2NameTrial1","check2CountTrial1","permutedMatrix1","filenameTrial2","levelTrial2","stimSingularTrial2","stimPluralTrial2","targetReferentTrial2","distractorReferentTrial2","otherReferentTrial2","targetFeatureTrial2","check1NameTrial2","check1CountTrial2","check2NameTrial2","check2CountTrial2","permutedMatrix2"
1,"001011000","S1-trial1.jpg",0,"snowman","snowmen",2,3,1,"beanie","a beanie",1,"gloves",2,"010000011","S1-trial2.jpg",1,"sundae","sundaes",2,1,3,"whipped cream","whipped cream",2,"chocolate sauce",1,"000110100"
2,"001011000","S2-trial1.jpg",0,"snowman","snowmen",3,1,2,"beanie","a beanie",1,"gloves",2,"001000101","S2-trial2.jpg",1,"face","faces",3,1,2,"mustache","a hat",1,"a mustache",2,"100000101"
3,"001011000","S3-trial1.jpg",0,"sundae","sundaes",2,3,1,"chocolate","whipped cream",2,"chocolate sauce",1,"000011010","S3-trial2.jpg",1,"snowman","snowmen",2,3,1,"scarf","a scarf",2,"gloves",1,"000011001"
4,"001011000","S4-trial1.jpg",1,"snowman","snowmen",2,1,3,"beanie","a beanie",2,"gloves",1,"110000100","S4-trial2.jpg",0,"face","faces",2,1,3,"mustache","a hat",2,"a mustache",1,"110000010"
5,"001011000","S5-trial1.jpg",0,"sundae","sundaes",2,1,3,"cherry","a cherry",1,"chocolate sauce",2,"010000110","S5-trial2.jpg",1,"snowman","snowmen",1,2,3,"beanie","a beanie",2,"gloves",1,"110000010"
6,"001011000","S6-trial1.jpg",0,"sundae","sundaes",2,1,3,"chocolate","whipped cream",2,"chocolate sauce",1,"000110010","S6-trial2.jpg",1,"snowman","snowmen",1,3,2,"beanie","a beanie",2,"a scarf",1,"101001000"
7,"001011000","S7-trial1.jpg",1,"snowman","snowmen",1,2,3,"gloves","a scarf",1,"gloves",2,"000010110","S7-trial2.jpg",0,"face","faces",2,3,1,"glasses","glasses",1,"a mustache",2,"000010011"
8,"001011000","S8-trial1.jpg",0,"face","faces",3,2,1,"mustache","glasses",2,"a mustache",1,"000011001","S8-trial2.jpg",1,"sundae","sundaes",2,3,1,"whipped cream","a cherry",1,"whipped cream",2,"001011000"
9,"001011000","S9-trial1.jpg",0,"face","faces",3,1,2,"glasses","a hat",2,"glasses",1,"101001000","S9-trial2.jpg",1,"sundae","sundaes",2,1,3,"whipped cream","whipped cream",2,"chocolate sauce",1,"000110100"
10,"001011000","S10-trial1.jpg",1,"face","faces",3,2,1,"mustache","a hat",1,"a mustache",2,"010000011","S10-trial2.jpg",0,"sundae","sundaes",3,1,2,"whipped cream","whipped cream",1,"chocolate sauce",2,"000001101"
