"Matrix","Nrow","Ncol","IBRDepth","IBRSpkSep","IBRLisSep","SurprisalIBRDepth","SurprisalIBRSpkSep","SurprisalIBRLisSep"
"0000000000001111",4,4,"4","FALSE","FALSE","4","FALSE","FALSE"
"0000000000011110",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000000011111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000000111100",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000000111101",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000000111111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000001111000",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000001111001",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000001111011",4,4,"5","FALSE","FALSE","5","FALSE","FALSE"
"0000000001111111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000011111111",4,4,"4","FALSE","FALSE","4","FALSE","FALSE"
"0000000100011110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000000100011111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000000100101100",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000100101101",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000100101110",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000100101111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000100111100",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000100111101",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000100111110",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000100111111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000101101000",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000101101001",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000101101010",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0000000101101011",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000101101110",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000101101111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000101111000",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000101111001",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000101111010",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000101111011",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0000000101111110",4,4,"4","FALSE","TRUE","3","FALSE","TRUE"
"0000000101111111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000111101110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000000111101111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000000111111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000001011011110",4,4,"4","FALSE","TRUE","3","FALSE","TRUE"
"0000001100111100",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000001100111101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000001100111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000001101001000",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000001101001001",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0000001101001011",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000001101001100",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000001101001101",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000001101001111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000001101011000",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0000001101011001",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0000001101011010",4,4,"4","FALSE","TRUE","3","FALSE","TRUE"
"0000001101011011",4,4,"5","TRUE","TRUE","3","FALSE","TRUE"
"0000001101011100",4,4,"4","FALSE","TRUE","3","FALSE","TRUE"
"0000001101011101",4,4,"5","TRUE","TRUE","3","FALSE","TRUE"
"0000001101011110",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0000001101011111",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0000001101111000",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000001101111001",4,4,"5","TRUE","TRUE","3","FALSE","TRUE"
"0000001101111011",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000001101111100",4,4,"3","FALSE","TRUE","4","FALSE","TRUE"
"0000001101111101",4,4,"4","FALSE","TRUE","3","FALSE","TRUE"
"0000001101111111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000001111001100",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000001111001101",4,4,"3","FALSE","TRUE","4","FALSE","TRUE"
"0000001111001111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000001111011101",4,4,"3","FALSE","FALSE","5","FALSE","FALSE"
"0000001111011110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000001111011111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000001111111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000010010111100",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000010110101100",4,4,"4","FALSE","TRUE","3","FALSE","TRUE"
"0000010110101101",4,4,"3","FALSE","TRUE","4","FALSE","TRUE"
"0000010110111100",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0000010110111101",4,4,"4","FALSE","TRUE","3","FALSE","TRUE"
"0000011101111000",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000011101111001",4,4,"3","FALSE","FALSE","5","FALSE","FALSE"
"0000011101111011",4,4,"5","FALSE","FALSE","3","FALSE","FALSE"
"0000011101111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000011110001000",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000011110001001",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000011110001011",4,4,"4","FALSE","TRUE","3","FALSE","TRUE"
"0000011110001111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000011110011001",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000011110011010",4,4,"5","TRUE","TRUE","5","TRUE","TRUE"
"0000011110011011",4,4,"4","FALSE","TRUE","3","FALSE","TRUE"
"0000011110011110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000011110011111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000011110111011",4,4,"5","FALSE","FALSE","3","FALSE","FALSE"
"0000011110111100",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000011110111101",4,4,"5","FALSE","FALSE","5","FALSE","FALSE"
"0000011110111111",4,4,"5","FALSE","FALSE","5","FALSE","FALSE"
"0000011111111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000111111111111",4,4,"4","FALSE","FALSE","4","FALSE","FALSE"
"0001000100011110",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0001000100011111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000100101100",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0001000100101101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000100101110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000100101111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000100111100",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000100111101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000100111110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000100111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000101101000",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
