"hitNum","originalMatrix","filenameTrial1","levelTrial1","stimSingularTrial1","stimPluralTrial1","targetReferentTrial1","distractorReferentTrial1","otherReferentTrial1","targetFeatureTrial1","check1NameTrial1","check1CountTrial1","check2NameTrial1","check2CountTrial1","check3NameTrial1","check3CountTrial1","check4NameTrial1","check4CountTrial1","permutedMatrix1","filenameTrial2","levelTrial2","stimSingularTrial2","stimPluralTrial2","targetReferentTrial2","distractorReferentTrial2","otherReferentTrial2","targetFeatureTrial2","check1NameTrial2","check1CountTrial2","check2NameTrial2","check2CountTrial2","check3NameTrial2","check3CountTrial2","check4NameTrial2","check4CountTrial2","permutedMatrix2","filenameTrial3","levelTrial3","stimSingularTrial3","stimPluralTrial3","targetReferentTrial3","distractorReferentTrial3","otherReferentTrial3","targetFeatureTrial3","check1NameTrial3","check1CountTrial3","check2NameTrial3","check2CountTrial3","check3NameTrial3","check3CountTrial3","check4NameTrial3","check4CountTrial3","permutedMatrix3"
1,"0011010101111110","E3/S1-trial1.jpg",3,"sundae","sundaes",1,2,4,"chocolate","a cherry",3,"whipped cream",2,"chocolate sauce",3,"a banana",2,"0111100110111010","E3/S1-trial2.jpg",1,"face","faces",4,2,1,"glasses","a hat",2,"glasses",3,"a mustache",3,"a tie",2,"1010110111100110","E3/S1-trial3.jpg",2,"snowman","snowmen",4,1,2,"belt","a beanie",2,"a scarf",3,"gloves",3,"a belt",2,"1100110101111001"
2,"0011010101111110","E3/S2-trial1.jpg",3,"snowman","snowmen",1,4,3,"beanie","a beanie",3,"a scarf",3,"gloves",2,"a belt",2,"1110011110101100","E3/S2-trial2.jpg",1,"face","faces",1,3,2,"mustache","a hat",2,"glasses",3,"a mustache",3,"a tie",2,"0011011111100101","E3/S2-trial3.jpg",2,"sundae","sundaes",4,2,3,"whipped cream","a cherry",3,"whipped cream",2,"chocolate sauce",2,"a banana",3,"0111010101101011"
3,"0011010101111110","E3/S3-trial1.jpg",3,"snowman","snowmen",2,4,3,"beanie","a beanie",3,"a scarf",2,"gloves",2,"a belt",3,"1110011011001011","E3/S3-trial2.jpg",1,"face","faces",3,1,2,"mustache","a hat",2,"glasses",2,"a mustache",3,"a tie",3,"1001010111101101","E3/S3-trial3.jpg",2,"sundae","sundaes",3,4,1,"chocolate","a cherry",3,"whipped cream",2,"chocolate sauce",2,"a banana",3,"1011100100111110"
4,"0011010101111110","E3/S4-trial1.jpg",1,"face","faces",2,3,4,"mustache","a hat",3,"glasses",2,"a mustache",3,"a tie",2,"1011101001111001","E3/S4-trial2.jpg",3,"sundae","sundaes",2,3,1,"chocolate","a cherry",2,"whipped cream",3,"chocolate sauce",3,"a banana",2,"0101101111011100","E3/S4-trial3.jpg",2,"snowman","snowmen",2,4,1,"beanie","a beanie",2,"a scarf",3,"gloves",3,"a belt",2,"0101111011011001"
5,"0011010101111110","E3/S5-trial1.jpg",1,"snowman","snowmen",4,2,3,"beanie","a beanie",3,"a scarf",3,"gloves",2,"a belt",2,"0111111010101100","E3/S5-trial2.jpg",3,"face","faces",4,2,1,"tie","a hat",2,"glasses",2,"a mustache",3,"a tie",3,"0011100111101011","E3/S5-trial3.jpg",2,"sundae","sundaes",4,1,2,"banana","a cherry",3,"whipped cream",3,"chocolate sauce",2,"a banana",2,"1101011111001001"
6,"0011010101111110","E3/S6-trial1.jpg",2,"face","faces",1,4,3,"mustache","a hat",2,"glasses",3,"a mustache",2,"a tie",3,"0011101110011110","E3/S6-trial2.jpg",1,"sundae","sundaes",1,3,4,"banana","a cherry",3,"whipped cream",2,"chocolate sauce",2,"a banana",3,"0111011001011011","E3/S6-trial3.jpg",3,"snowman","snowmen",3,1,2,"scarf","a beanie",2,"a scarf",3,"gloves",2,"a belt",3,"0110011100111101"
7,"0011010101111110","E3/S7-trial1.jpg",1,"snowman","snowmen",4,1,2,"gloves","a beanie",2,"a scarf",3,"gloves",3,"a belt",2,"0110111011011010","E3/S7-trial2.jpg",2,"face","faces",4,2,3,"hat","a hat",2,"glasses",3,"a mustache",3,"a tie",2,"0101101101110110","E3/S7-trial3.jpg",3,"sundae","sundaes",2,3,1,"cherry","a cherry",3,"whipped cream",3,"chocolate sauce",2,"a banana",2,"1101101101011100"
8,"0011010101111110","E3/S8-trial1.jpg",1,"snowman","snowmen",1,2,4,"beanie","a beanie",3,"a scarf",3,"gloves",2,"a belt",2,"1101011101100011","E3/S8-trial2.jpg",2,"sundae","sundaes",4,3,1,"banana","a cherry",2,"whipped cream",3,"chocolate sauce",3,"a banana",2,"1010101111010011","E3/S8-trial3.jpg",3,"face","faces",3,4,2,"mustache","a hat",2,"glasses",3,"a mustache",3,"a tie",2,"1010110111100110"
9,"0011010101111110","E3/S9-trial1.jpg",2,"snowman","snowmen",1,3,2,"scarf","a beanie",3,"a scarf",2,"gloves",3,"a belt",2,"1110101011010110","E3/S9-trial2.jpg",1,"sundae","sundaes",2,3,1,"chocolate","a cherry",2,"whipped cream",3,"chocolate sauce",3,"a banana",2,"0011101111101001","E3/S9-trial3.jpg",3,"face","faces",3,1,4,"glasses","a hat",2,"glasses",3,"a mustache",2,"a tie",3,"0011011101101101"
10,"0011010101111110","E3/S10-trial1.jpg",2,"snowman","snowmen",2,1,3,"belt","a beanie",3,"a scarf",3,"gloves",2,"a belt",2,"0111111010101100","E3/S10-trial2.jpg",3,"face","faces",3,2,1,"mustache","a hat",2,"glasses",3,"a mustache",3,"a tie",2,"0011110110111010","E3/S10-trial3.jpg",1,"sundae","sundaes",4,1,3,"banana","a cherry",3,"whipped cream",2,"chocolate sauce",2,"a banana",3,"1110011011001011"
11,"0011010101111110","E3/S11-trial1.jpg",1,"snowman","snowmen",3,2,1,"gloves","a beanie",2,"a scarf",2,"gloves",3,"a belt",3,"1001010111101101","E3/S11-trial2.jpg",3,"sundae","sundaes",1,2,3,"cherry","a cherry",3,"whipped cream",3,"chocolate sauce",2,"a banana",2,"1011011110011010","E3/S11-trial3.jpg",2,"face","faces",2,1,4,"mustache","a hat",3,"glasses",2,"a mustache",2,"a tie",3,"1101100111000111"
12,"0011010101111110","E3/S12-trial1.jpg",3,"snowman","snowmen",3,1,2,"belt","a beanie",2,"a scarf",2,"gloves",3,"a belt",3,"0110001111010111","E3/S12-trial2.jpg",2,"sundae","sundaes",4,2,1,"banana","a cherry",3,"whipped cream",3,"chocolate sauce",2,"a banana",2,"1011110111000101","E3/S12-trial3.jpg",1,"face","faces",2,4,1,"glasses","a hat",3,"glasses",3,"a mustache",2,"a tie",2,"1011110100111010"
13,"0011010101111110","E3/S13-trial1.jpg",2,"face","faces",3,4,1,"hat","a hat",2,"glasses",3,"a mustache",2,"a tie",3,"0011101110011110","E3/S13-trial2.jpg",3,"sundae","sundaes",4,3,2,"cherry","a cherry",3,"whipped cream",2,"chocolate sauce",2,"a banana",3,"1101010110011110","E3/S13-trial3.jpg",1,"snowman","snowmen",1,3,2,"belt","a beanie",2,"a scarf",3,"gloves",2,"a belt",3,"0101011100111110"
14,"0011010101111110","E3/S14-trial1.jpg",1,"face","faces",4,2,3,"mustache","a hat",3,"glasses",2,"a mustache",3,"a tie",2,"1110101001111100","E3/S14-trial2.jpg",2,"sundae","sundaes",3,1,2,"whipped cream","a cherry",2,"whipped cream",2,"chocolate sauce",3,"a banana",3,"1100101011100111","E3/S14-trial3.jpg",3,"snowman","snowmen",2,3,4,"gloves","a beanie",2,"a scarf",2,"gloves",3,"a belt",3,"1100010111011011"
15,"0011010101111110","E3/S15-trial1.jpg",3,"sundae","sundaes",4,2,1,"whipped cream","a cherry",2,"whipped cream",3,"chocolate sauce",3,"a banana",2,"1001101111100011","E3/S15-trial2.jpg",2,"face","faces",4,3,2,"glasses","a hat",3,"glasses",2,"a mustache",2,"a tie",3,"1101001101100111","E3/S15-trial3.jpg",1,"snowman","snowmen",1,3,2,"belt","a beanie",2,"a scarf",2,"gloves",3,"a belt",3,"0101001101111110"
16,"0011010101111110","E3/S16-trial1.jpg",3,"sundae","sundaes",1,4,2,"banana","a cherry",2,"whipped cream",3,"chocolate sauce",2,"a banana",3,"1100011110101110","E3/S16-trial2.jpg",1,"snowman","snowmen",3,2,1,"scarf","a beanie",2,"a scarf",3,"gloves",3,"a belt",2,"0101111011011001","E3/S16-trial3.jpg",2,"face","faces",3,2,1,"glasses","a hat",3,"glasses",2,"a mustache",3,"a tie",2,"1110011010111100"
17,"0011010101111110","E3/S17-trial1.jpg",1,"face","faces",4,2,3,"mustache","a hat",2,"glasses",3,"a mustache",3,"a tie",2,"1100111001111010","E3/S17-trial2.jpg",2,"sundae","sundaes",4,3,1,"banana","a cherry",3,"whipped cream",3,"chocolate sauce",2,"a banana",2,"1011110110100011","E3/S17-trial3.jpg",3,"snowman","snowmen",4,1,3,"beanie","a beanie",3,"a scarf",2,"gloves",2,"a belt",3,"0111001101011110"
