"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.target_property"	"Answer.familiarization_cond"	"Answer.comment"	"Answer.item"	"Answer.word_condition"	"Answer.target_frequency"	"Answer.about"	"Answer.target_position"	"Answer.name_check_correct"	"Answer.choice_correct"
"2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Sun Mar 17 11:43:18 PDT 2013"	"700"	"2"	"0"	"698"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Mar 24 11:43:18 PDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2JJNDWIOV1S7BG9DPLL19YD3MR1XIQ"	"A1PA4WGAPB8LUV"	"Approved"	"Mon Mar 18 04:30:36 PDT 2013"	"Sun Mar 17 11:49:22 PDT 2013"	"Sun Mar 17 11:50:36 PDT 2013"	"Mon Mar 18 04:34:22 PDT 2013"	""	""	""	""	"""hat"""	"0"	""""""	"""friend"""	"""listener"""	"0.125"	"""Perceptions"""	"""middle"""	"""TRUE"""	"""FALSE"""
"2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Sun Mar 17 11:43:18 PDT 2013"	"700"	"2"	"0"	"698"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Mar 24 11:43:18 PDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2HW6OQ1SNQQ79ZD016HKINR5GXKQ6T"	"A36PNRGH373B79"	"Approved"	"Mon Mar 18 04:41:32 PDT 2013"	"Sun Mar 17 12:00:44 PDT 2013"	"Sun Mar 17 12:01:32 PDT 2013"	"Mon Mar 18 04:44:22 PDT 2013"	""	""	""	""	"""cherry"""	"1"	""""""	"""sundae"""	"""listener"""	"0.25"	"""Bob's favorite type of sundae"""	"""right"""	"""TRUE"""	"""FALSE"""
"2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Sun Mar 17 11:43:18 PDT 2013"	"700"	"2"	"0"	"698"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Mar 24 11:43:18 PDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"27CNQY2RCJK6MS1EZMI0QUIE4DDT4P"	"A10ELK3KP57KWE"	"Approved"	"Mon Mar 18 04:46:32 PDT 2013"	"Sun Mar 17 12:04:12 PDT 2013"	"Sun Mar 17 12:06:32 PDT 2013"	"Mon Mar 18 04:49:25 PDT 2013"	""	""	""	""	"""whipped cream"""	"2"	""""""	"""sundae"""	"""listener"""	"0.375"	"""Deciding which sundae Bob liked best"""	"""left"""	"""TRUE"""	"""TRUE"""
"2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Sun Mar 17 11:43:18 PDT 2013"	"700"	"2"	"0"	"698"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Mar 24 11:43:18 PDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2I988MQU6L5OUOIIXWOXAAINTBBCV2"	"A3201I4MVXN7K5"	"Approved"	"Mon Mar 18 04:53:13 PDT 2013"	"Sun Mar 17 12:09:43 PDT 2013"	"Sun Mar 17 12:13:13 PDT 2013"	"Mon Mar 18 04:54:25 PDT 2013"	""	""	""	""	"""chocolate"""	"3"	"""I'm not sure if I did it right.  I hope it works for you!"""	"""sundae"""	"""listener"""	"0.5"	"""not entirely sure"""	"""left"""	"""TRUE"""	"""FALSE"""
"2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Sun Mar 17 11:43:18 PDT 2013"	"700"	"2"	"0"	"698"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Mar 24 11:43:18 PDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2UUJE1M7PKK94K26K41C64L3BTIRYY"	"A2SYRFPPV9WDEG"	"Approved"	"Mon Mar 18 05:07:36 PDT 2013"	"Sun Mar 17 12:24:54 PDT 2013"	"Sun Mar 17 12:27:36 PDT 2013"	"Mon Mar 18 05:09:26 PDT 2013"	""	""	""	""	"""mustache"""	"4"	""""""	"""friend"""	"""listener"""	"0.625"	"""favorites"""	"""left"""	"""TRUE"""	"""TRUE"""
"2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Sun Mar 17 11:43:18 PDT 2013"	"700"	"2"	"0"	"698"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Mar 24 11:43:18 PDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"28349F9SSSHXKUPOJXK5N5FCX8LXTB"	"A2BZVA2D9U4N7H"	"Approved"	"Mon Mar 18 05:09:55 PDT 2013"	"Sun Mar 17 12:29:17 PDT 2013"	"Sun Mar 17 12:29:55 PDT 2013"	"Mon Mar 18 05:14:27 PDT 2013"	""	""	""	""	"""mustache"""	"5"	"""None"""	"""friend"""	"""listener"""	"0.75"	"""Bob's favorite friend"""	"""left"""	"""TRUE"""	"""TRUE"""
"2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Sun Mar 17 11:43:18 PDT 2013"	"700"	"2"	"0"	"698"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Mar 24 11:43:18 PDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2LDYHVI44OS23E089S5ZYBATJFY4YS"	"A3D4USCHN1HG3C"	"Approved"	"Mon Mar 18 05:12:14 PDT 2013"	"Sun Mar 17 12:31:09 PDT 2013"	"Sun Mar 17 12:32:14 PDT 2013"	"Mon Mar 18 05:14:27 PDT 2013"	""	""	""	""	"""cherry"""	"6"	"""no"""	"""sundae"""	"""listener"""	"0.875"	"""What kind of sundae bob likes to eat."""	"""left"""	"""TRUE"""	"""TRUE"""
"2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Sun Mar 17 11:43:18 PDT 2013"	"700"	"2"	"0"	"698"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Mar 24 11:43:18 PDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"28ZQEOZFYQS1VLZMKKORJS4MQ5BKHZ"	"A2HR7ZIX42FEPG"	"Approved"	"Mon Mar 18 05:13:23 PDT 2013"	"Sun Mar 17 12:32:32 PDT 2013"	"Sun Mar 17 12:33:23 PDT 2013"	"Mon Mar 18 05:14:27 PDT 2013"	""	""	""	""	"""whipped cream"""	"0"	""""""	"""sundae"""	"""salience"""	"0.125"	"""what sundae a person likes"""	"""left"""	"""TRUE"""	"""FALSE"""
"2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Sun Mar 17 11:43:18 PDT 2013"	"700"	"2"	"0"	"698"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Mar 24 11:43:18 PDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2JQ8TNKIMZSMODLHO7FM6PGZT7HBY7"	"A3IH4TNZSWEZWG"	"Approved"	"Mon Mar 18 05:29:41 PDT 2013"	"Sun Mar 17 12:48:43 PDT 2013"	"Sun Mar 17 12:49:41 PDT 2013"	"Mon Mar 18 05:34:30 PDT 2013"	""	""	""	""	"""beanie"""	"1"	""""""	"""snowman"""	"""salience"""	"0.25"	"""Bob's favorite snowman"""	"""right"""	"""TRUE"""	"""TRUE"""
"2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Sun Mar 17 11:43:18 PDT 2013"	"700"	"2"	"0"	"698"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Mar 24 11:43:18 PDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2E924SMEZZ2M1DSN5ZZPFY3AYX43K7"	"2KMC26DG67D1GW10BPRCUK2NS5LE79"	"A3862RIFFUV141"	"Approved"	"Mon Mar 18 05:30:57 PDT 2013"	"Sun Mar 17 12:47:39 PDT 2013"	"Sun Mar 17 12:50:57 PDT 2013"	"Mon Mar 18 05:34:30 PDT 2013"	""	""	""	""	"""hat"""	"1"	"""There was only one friend to click on.  Was this a glitch?"""	"""friend"""	"""salience"""	"0.25"	"""I have no idea."""	"""left"""	"""TRUE"""	"""FALSE"""
