"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.target_property"	"Answer.choice"	"Answer.familiarization_cond"	"Answer.word_condition"	"Answer.target_frequency"	"Answer.about"	"Answer.manip_check_target"	"Answer.comment"	"Answer.manip_check_dist"	"Answer.item"	"Answer.target_position"	"Answer.name_check_correct"	"Answer.choice_correct"
"2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Fri Apr 26 11:39:40 EDT 2013"	"600"	"244"	"0"	"296"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri May 03 11:39:40 EDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2ZOZ9RNDWIOVKLDSJ84TMU17JR9UFC"	"AD317NO9623GZ"	"Approved"	"Sat Apr 27 04:29:44 EDT 2013"	"Fri Apr 26 11:48:42 EDT 2013"	"Fri Apr 26 11:49:44 EDT 2013"	"Sat Apr 27 04:31:14 EDT 2013"	""	""	""	""	"""chocolate"""	"""target"""	"2"	"""baserate"""	"0.625"	"""comprehension and inference"""	"""8"""	""""""	"""3"""	"""sundae"""	"""left"""	"""TRUE"""	"""TRUE"""
"2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Fri Apr 26 11:39:40 EDT 2013"	"600"	"244"	"0"	"296"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri May 03 11:39:40 EDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2EXUUKQOYGNIFUTS4T70707WGUKGYV"	"A3UO10WWSKBYYA"	"Approved"	"Sat Apr 27 04:30:11 EDT 2013"	"Fri Apr 26 11:47:52 EDT 2013"	"Fri Apr 26 11:50:11 EDT 2013"	"Sat Apr 27 04:31:14 EDT 2013"	""	""	""	""	"""ornaments"""	"""logical"""	"2"	"""baserate"""	"0.625"	"""bobs Christmas tree's"""	"""4"""	"""none at this time. but thanks for the study"""	"""3"""	"""Christmas tree"""	"""right"""	"""TRUE"""	"""FALSE"""
"2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Fri Apr 26 11:39:40 EDT 2013"	"600"	"244"	"0"	"296"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri May 03 11:39:40 EDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2VCH1Q6SVQ8HR1SQQBC5UBVG3F2M34"	"A1FVXS8IM5QYO8"	"Approved"	"Sat Apr 27 04:33:12 EDT 2013"	"Fri Apr 26 11:51:47 EDT 2013"	"Fri Apr 26 11:53:12 EDT 2013"	"Sat Apr 27 04:36:04 EDT 2013"	""	""	""	""	"""chocolate"""	"""logical"""	"1"	"""baserate"""	"0.375"	"""What type of sundae Bob eats each week, and which one is his favorite"""	"""2"""	"""N/A"""	"""1"""	"""sundae"""	"""middle"""	"""TRUE"""	"""FALSE"""
"2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Fri Apr 26 11:39:40 EDT 2013"	"600"	"244"	"0"	"296"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri May 03 11:39:40 EDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2CXL8I9NZW6HXSCOA9HWDT8AUU6VL9"	"A3G7NL91BRY9JL"	"Approved"	"Sat Apr 27 04:35:03 EDT 2013"	"Fri Apr 26 11:53:54 EDT 2013"	"Fri Apr 26 11:55:03 EDT 2013"	"Sat Apr 27 04:36:04 EDT 2013"	""	""	""	""	"""ornaments"""	"""logical"""	"3"	"""baserate"""	"0.875"	"""Bob trimming Christmas trees."""	"""2"""	"""none"""	"""1"""	"""Christmas tree"""	"""left"""	"""TRUE"""	"""FALSE"""
"2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Fri Apr 26 11:39:40 EDT 2013"	"600"	"244"	"0"	"296"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri May 03 11:39:40 EDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2T85TYMNCWYBN2L9OXJH311N915OKY"	"A2YFPO0N4GIS25"	"Approved"	"Sat Apr 27 04:40:12 EDT 2013"	"Fri Apr 26 11:59:19 EDT 2013"	"Fri Apr 26 12:00:12 EDT 2013"	"Sat Apr 27 04:41:01 EDT 2013"	""	""	""	""	"""glasses"""	"""logical"""	"1"	"""baserate"""	"0.375"	"""Understanding Language"""	"""2"""	""""""	"""1"""	"""friend"""	"""middle"""	"""TRUE"""	"""FALSE"""
"2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Fri Apr 26 11:39:40 EDT 2013"	"600"	"244"	"0"	"296"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri May 03 11:39:40 EDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2C2C9KSSZVXXLJA5QZBQUYGR3AFL34"	"A3URNV625JS985"	"Approved"	"Sat Apr 27 04:41:26 EDT 2013"	"Fri Apr 26 12:00:08 EDT 2013"	"Fri Apr 26 12:01:26 EDT 2013"	"Sat Apr 27 04:46:20 EDT 2013"	""	""	""	""	"""scarf"""	"""logical"""	"1"	"""baserate"""	"0.375"	"""Bob and the snowmen he created on each day"""	"""2"""	""""""	"""1"""	"""snowman"""	"""left"""	"""TRUE"""	"""FALSE"""
"2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Fri Apr 26 11:39:40 EDT 2013"	"600"	"244"	"0"	"296"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri May 03 11:39:40 EDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2AT1K274J79K9PC14SV60XFGYIJGEK"	"A3BUX2X4NAIB3K"	"Approved"	"Sat Apr 27 04:42:31 EDT 2013"	"Fri Apr 26 12:01:37 EDT 2013"	"Fri Apr 26 12:02:31 EDT 2013"	"Sat Apr 27 04:46:21 EDT 2013"	""	""	""	""	"""olives"""	"""logical"""	"0"	"""baserate"""	"0.125"	"""What kind of pizzas Bob likes."""	"""2"""	""""""	"""1"""	"""pizza"""	"""middle"""	"""TRUE"""	"""FALSE"""
"2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Fri Apr 26 11:39:40 EDT 2013"	"600"	"244"	"0"	"296"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri May 03 11:39:40 EDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2QFTBJ3MMDX5YIDN27BHH9MHI2XCYM"	"A2QXSFUS7A0A5H"	"Approved"	"Sat Apr 27 04:42:50 EDT 2013"	"Fri Apr 26 12:01:57 EDT 2013"	"Fri Apr 26 12:02:50 EDT 2013"	"Sat Apr 27 04:46:21 EDT 2013"	""	""	""	""	"""lights"""	"""logical"""	"0"	"""baserate"""	"0.125"	"""christmas trees"""	"""2"""	"""no"""	"""1"""	"""Christmas tree"""	"""right"""	"""TRUE"""	"""FALSE"""
"2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Fri Apr 26 11:39:40 EDT 2013"	"600"	"244"	"0"	"296"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri May 03 11:39:40 EDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"297YQS1CSTMOYQXDO99C7EYH8BXPMM"	"A2E5ZHT6DQZ4E4"	"Approved"	"Sat Apr 27 04:43:24 EDT 2013"	"Fri Apr 26 12:02:20 EDT 2013"	"Fri Apr 26 12:03:24 EDT 2013"	"Sat Apr 27 04:46:21 EDT 2013"	""	""	""	""	"""mustache"""	"""logical"""	"0"	"""baserate"""	"0.125"	"""Bobs friend visits"""	"""2"""	""""""	"""1"""	"""friend"""	"""middle"""	"""TRUE"""	"""FALSE"""
"2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2L2F9SSSHX112HTSPA85L8J4O1VVZR"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Fri Apr 26 11:39:40 EDT 2013"	"600"	"244"	"0"	"296"	"Assignable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri May 03 11:39:40 EDT 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2GDXX2Q45UUK9H4GJNN1TS8QQSWAS1"	"2TZ9KQW618N4PN3F8IV53CEX8R7NLN"	"A38TCB4NTM5093"	"Approved"	"Sat Apr 27 04:44:02 EDT 2013"	"Fri Apr 26 12:02:40 EDT 2013"	"Fri Apr 26 12:04:02 EDT 2013"	"Sat Apr 27 04:46:21 EDT 2013"	""	""	""	""	"""cherry"""	"""logical"""	"1"	"""baserate"""	"0.375"	"""Predicting favorites"""	"""2"""	""""""	"""1"""	"""sundae"""	"""left"""	"""TRUE"""	"""FALSE"""
