"hitNum","originalMatrix","filenameTrial1","levelTrial1","stimSingularTrial1","stimPluralTrial1","targetReferentTrial1","distractorReferentTrial1","otherReferentTrial1","targetFeatureTrial1","check1NameTrial1","check1CountTrial1","check2NameTrial1","check2CountTrial1","check3NameTrial1","check3CountTrial1","permutedMatrix1","filenameTrial2","levelTrial2","stimSingularTrial2","stimPluralTrial2","targetReferentTrial2","distractorReferentTrial2","otherReferentTrial2","targetFeatureTrial2","check1NameTrial2","check1CountTrial2","check2NameTrial2","check2CountTrial2","check3NameTrial2","check3CountTrial2","permutedMatrix2","filenameTrial3","levelTrial3","stimSingularTrial3","stimPluralTrial3","targetReferentTrial3","distractorReferentTrial3","otherReferentTrial3","targetFeatureTrial3","check1NameTrial3","check1CountTrial3","check2NameTrial3","check2CountTrial3","check3NameTrial3","check3CountTrial3","permutedMatrix3"
1,"001110111","E2/S1-trial1.jpg",2,"face","faces",1,2,3,"mustache","a hat",1,"glasses",2,"a mustache",3,"001110111","E2/S1-trial2.jpg",0,"snowman","snowmen",3,1,2,"gloves","a beanie",3,"a scarf",2,"gloves",1,"111110001","E2/S1-trial3.jpg",1,"sundae","sundaes",3,2,1,"whipped cream","a cherry",3,"whipped cream",2,"chocolate sauce",1,"111011100"
2,"001110111","E2/S2-trial1.jpg",0,"snowman","snowmen",2,3,1,"beanie","a beanie",1,"a scarf",2,"gloves",3,"010101111","E2/S2-trial2.jpg",1,"sundae","sundaes",3,1,2,"cherry","a cherry",2,"whipped cream",1,"chocolate sauce",3,"101010111","E2/S2-trial3.jpg",2,"face","faces",1,3,2,"mustache","a hat",2,"glasses",1,"a mustache",3,"101010111"
3,"001110111","E2/S3-trial1.jpg",1,"sundae","sundaes",1,3,2,"chocolate","a cherry",3,"whipped cream",1,"chocolate sauce",2,"111010101","E2/S3-trial2.jpg",0,"face","faces",3,2,1,"hat","a hat",1,"glasses",3,"a mustache",2,"001111110","E2/S3-trial3.jpg",2,"snowman","snowmen",1,2,3,"beanie","a beanie",3,"a scarf",1,"gloves",2,"111001110"
4,"001110111","E2/S4-trial1.jpg",0,"face","faces",2,3,1,"hat","a hat",1,"glasses",2,"a mustache",3,"010101111","E2/S4-trial2.jpg",1,"snowman","snowmen",3,1,2,"beanie","a beanie",2,"a scarf",1,"gloves",3,"101010111","E2/S4-trial3.jpg",2,"sundae","sundaes",3,2,1,"whipped cream","a cherry",1,"whipped cream",3,"chocolate sauce",2,"100111011"
5,"001110111","E2/S5-trial1.jpg",2,"snowman","snowmen",1,2,3,"beanie","a beanie",3,"a scarf",1,"gloves",2,"111001110","E2/S5-trial2.jpg",0,"sundae","sundaes",3,1,2,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",3,"110001111","E2/S5-trial3.jpg",1,"face","faces",2,1,3,"mustache","a hat",1,"glasses",3,"a mustache",2,"001111110"
6,"001110111","E2/S6-trial1.jpg",0,"sundae","sundaes",1,3,2,"cherry","a cherry",1,"whipped cream",3,"chocolate sauce",2,"100111011","E2/S6-trial2.jpg",2,"face","faces",2,1,3,"glasses","a hat",1,"glasses",3,"a mustache",2,"001111110","E2/S6-trial3.jpg",1,"snowman","snowmen",3,1,2,"beanie","a beanie",2,"a scarf",1,"gloves",3,"101010111"
7,"001110111","E2/S7-trial1.jpg",2,"sundae","sundaes",2,3,1,"chocolate","a cherry",2,"whipped cream",1,"chocolate sauce",3,"011100111","E2/S7-trial2.jpg",0,"face","faces",1,3,2,"glasses","a hat",3,"glasses",1,"a mustache",2,"111100011","E2/S7-trial3.jpg",1,"snowman","snowmen",3,1,2,"scarf","a beanie",1,"a scarf",2,"gloves",3,"010101111"
8,"001110111","E2/S8-trial1.jpg",2,"snowman","snowmen",2,3,1,"beanie","a beanie",3,"a scarf",1,"gloves",2,"111100011","E2/S8-trial2.jpg",0,"face","faces",1,3,2,"hat","a hat",1,"glasses",2,"a mustache",3,"100011111","E2/S8-trial3.jpg",1,"sundae","sundaes",3,1,2,"whipped cream","a cherry",3,"whipped cream",2,"chocolate sauce",1,"111101010"
9,"001110111","E2/S9-trial1.jpg",0,"snowman","snowmen",1,3,2,"scarf","a beanie",3,"a scarf",1,"gloves",2,"111100011","E2/S9-trial2.jpg",1,"face","faces",1,2,3,"hat","a hat",2,"glasses",3,"a mustache",1,"110111001","E2/S9-trial3.jpg",2,"sundae","sundaes",2,3,1,"chocolate","a cherry",2,"whipped cream",1,"chocolate sauce",3,"011100111"
10,"001110111","E2/S10-trial1.jpg",1,"snowman","snowmen",1,2,3,"beanie","a beanie",2,"a scarf",1,"gloves",3,"110001111","E2/S10-trial2.jpg",2,"sundae","sundaes",1,2,3,"whipped cream","a cherry",1,"whipped cream",3,"chocolate sauce",2,"001111110","E2/S10-trial3.jpg",0,"face","faces",1,3,2,"glasses","a hat",2,"glasses",1,"a mustache",3,"011100111"
11,"001110111","E2/S11-trial1.jpg",0,"face","faces",1,3,2,"mustache","a hat",2,"glasses",3,"a mustache",1,"011111100","E2/S11-trial2.jpg",2,"sundae","sundaes",2,1,3,"whipped cream","a cherry",2,"whipped cream",3,"chocolate sauce",1,"110111001","E2/S11-trial3.jpg",1,"snowman","snowmen",2,3,1,"scarf","a beanie",3,"a scarf",2,"gloves",1,"111011100"
12,"001110111","E2/S12-trial1.jpg",1,"sundae","sundaes",1,2,3,"chocolate","a cherry",1,"whipped cream",3,"chocolate sauce",2,"001111110","E2/S12-trial2.jpg",0,"snowman","snowmen",2,1,3,"scarf","a beanie",2,"a scarf",1,"gloves",3,"101010111","E2/S12-trial3.jpg",2,"face","faces",1,2,3,"mustache","a hat",1,"glasses",2,"a mustache",3,"001110111"
13,"001110111","E2/S13-trial1.jpg",2,"face","faces",2,1,3,"mustache","a hat",2,"glasses",1,"a mustache",3,"110001111","E2/S13-trial2.jpg",1,"sundae","sundaes",1,2,3,"cherry","a cherry",2,"whipped cream",1,"chocolate sauce",3,"110001111","E2/S13-trial3.jpg",0,"snowman","snowmen",1,3,2,"beanie","a beanie",1,"a scarf",3,"gloves",2,"100111011"
14,"001110111","E2/S14-trial1.jpg",2,"face","faces",1,2,3,"mustache","a hat",1,"glasses",2,"a mustache",3,"001110111","E2/S14-trial2.jpg",1,"snowman","snowmen",1,2,3,"gloves","a beanie",1,"a scarf",3,"gloves",2,"001111110","E2/S14-trial3.jpg",0,"sundae","sundaes",2,1,3,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",3,"101010111"
15,"001110111","E2/S15-trial1.jpg",0,"face","faces",3,2,1,"hat","a hat",1,"glasses",2,"a mustache",3,"001110111","E2/S15-trial2.jpg",2,"snowman","snowmen",3,2,1,"beanie","a beanie",3,"a scarf",1,"gloves",2,"111100011","E2/S15-trial3.jpg",1,"sundae","sundaes",3,2,1,"whipped cream","a cherry",1,"whipped cream",2,"chocolate sauce",3,"100011111"
16,"001110111","E2/S16-trial1.jpg",0,"face","faces",1,3,2,"glasses","a hat",3,"glasses",1,"a mustache",2,"111100011","E2/S16-trial2.jpg",1,"snowman","snowmen",1,2,3,"scarf","a beanie",1,"a scarf",2,"gloves",3,"001110111","E2/S16-trial3.jpg",2,"sundae","sundaes",1,2,3,"chocolate","a cherry",1,"whipped cream",2,"chocolate sauce",3,"001110111"
17,"001110111","E2/S17-trial1.jpg",2,"snowman","snowmen",1,2,3,"gloves","a beanie",1,"a scarf",2,"gloves",3,"001110111","E2/S17-trial2.jpg",0,"face","faces",3,2,1,"glasses","a hat",3,"glasses",1,"a mustache",2,"111001110","E2/S17-trial3.jpg",1,"sundae","sundaes",3,2,1,"chocolate","a cherry",3,"whipped cream",1,"chocolate sauce",2,"111100011"
18,"001110111","E2/S18-trial1.jpg",1,"sundae","sundaes",3,1,2,"chocolate","a cherry",1,"whipped cream",3,"chocolate sauce",2,"010111101","E2/S18-trial2.jpg",2,"face","faces",1,3,2,"hat","a hat",3,"glasses",2,"a mustache",1,"111101010","E2/S18-trial3.jpg",0,"snowman","snowmen",1,2,3,"scarf","a beanie",2,"a scarf",1,"gloves",3,"011100111"
19,"001110111","E2/S19-trial1.jpg",2,"face","faces",3,1,2,"mustache","a hat",1,"glasses",2,"a mustache",3,"010101111","E2/S19-trial2.jpg",1,"sundae","sundaes",3,1,2,"whipped cream","a cherry",1,"whipped cream",2,"chocolate sauce",3,"010101111","E2/S19-trial3.jpg",0,"snowman","snowmen",2,3,1,"scarf","a beanie",2,"a scarf",1,"gloves",3,"101010111"
20,"001110111","E2/S20-trial1.jpg",2,"sundae","sundaes",3,1,2,"cherry","a cherry",3,"whipped cream",2,"chocolate sauce",1,"111101010","E2/S20-trial2.jpg",0,"snowman","snowmen",3,2,1,"gloves","a beanie",3,"a scarf",2,"gloves",1,"111110001","E2/S20-trial3.jpg",1,"face","faces",3,1,2,"glasses","a hat",3,"glasses",2,"a mustache",1,"111101010"
