HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.hitNum,Input.originalMatrix,Input.filenameTrial1,Input.levelTrial1,Input.stimSingularTrial1,Input.stimPluralTrial1,Input.targetReferentTrial1,Input.distractorReferentTrial1,Input.otherReferentTrial1,Input.targetFeatureTrial1,Input.check1NameTrial1,Input.check1CountTrial1,Input.check2NameTrial1,Input.check2CountTrial1,Input.check3NameTrial1,Input.check3CountTrial1,Input.check4NameTrial1,Input.check4CountTrial1,Input.permutedMatrix1,Input.filenameTrial2,Input.levelTrial2,Input.stimSingularTrial2,Input.stimPluralTrial2,Input.targetReferentTrial2,Input.distractorReferentTrial2,Input.otherReferentTrial2,Input.targetFeatureTrial2,Input.check1NameTrial2,Input.check1CountTrial2,Input.check2NameTrial2,Input.check2CountTrial2,Input.check3NameTrial2,Input.check3CountTrial2,Input.check4NameTrial2,Input.check4CountTrial2,Input.permutedMatrix2,Input.filenameTrial3,Input.levelTrial3,Input.stimSingularTrial3,Input.stimPluralTrial3,Input.targetReferentTrial3,Input.distractorReferentTrial3,Input.otherReferentTrial3,Input.targetFeatureTrial3,Input.check1NameTrial3,Input.check1CountTrial3,Input.check2NameTrial3,Input.check2CountTrial3,Input.check3NameTrial3,Input.check3CountTrial3,Input.check4NameTrial3,Input.check4CountTrial3,Input.permutedMatrix3,Answer.bet1Trial1,Answer.bet1Trial2,Answer.bet1Trial3,Answer.bet2Trial1,Answer.bet3Trial1,Answer.bet2Trial2,Answer.bet2Trial3,Answer.bet4Trial1,Answer.bet3Trial2,Answer.bet3Trial3,Answer.bet4Trial2,Answer.bet4Trial3,Answer.check1CountTrial1,Answer.check1CountTrial2,Answer.check1CountTrial3,Answer.check2CountTrial1,Answer.check2CountTrial2,Answer.check2CountTrial3,Answer.check3CountTrial1,Answer.check3CountTrial2,Answer.check3CountTrial3,Answer.check4CountTrial1,Answer.check4CountTrial2,Answer.check4CountTrial3,Answer.participantExplanation,Approve,Reject
2V6ZFYQS1CST5HLXNIJ4OC1FLSZKNG,2JJ45UUKQOYG6B21JXZOM01072OWES,"Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of bugs. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game",$0.15 ,Fri Aug 31 04:39:46 GMT 2012,1,BatchId:897582;,600,604800,Mon Sep 10 04:39:46 GMT 2012,,,2MGK2JE1M7PK32RRSBFZGC074ZJWPW,A1JYGNIFHS9TEA,Submitted,Fri Aug 31 06:49:00 GMT 2012,Fri Aug 31 06:51:47 GMT 2012,Thu Sep 06 23:51:47 PDT 2012,,,,167,0% (0/0),0% (0/0),0% (0/0),1,1.10101E+13,E3/S1-trial1.jpg,3,sundae,sundaes,1,2,4,chocolate,a cherry,3,whipped cream,2,chocolate sauce,3,a banana,2,1.111E+14,E3/S1-trial2.jpg,1,face,faces,4,2,1,glasses,a hat,2,glasses,3,a mustache,3,a tie,2,1.01011E+15,E3/S1-trial3.jpg,2,snowman,snowmen,4,1,2,belt,a beanie,2,a scarf,3,gloves,3,a belt,2,1.10011E+15,20,10,50,30,20,10,0,30,20,0,60,50,3,2,2,2,2,3,3,3,3,2,2,2,Possibly seeing how people interpret images and words,,
2C6X7H57DZKPY7AECI8DS25MVXL1B5,2JJ45UUKQOYG6B21JXZOM01072OWES,"Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of bugs. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game",$0.15 ,Fri Aug 31 04:39:46 GMT 2012,1,BatchId:897582;,600,604800,Mon Sep 10 04:39:46 GMT 2012,,,2N58XMB3Q39ZJ4CUPTXTAEVVCVDSH8,A14GS0F8N73X1N,Submitted,Fri Aug 31 07:04:35 GMT 2012,Fri Aug 31 07:06:49 GMT 2012,Fri Sep 07 00:06:49 PDT 2012,,,,134,0% (0/0),0% (0/0),0% (0/0),2,1.10101E+13,E3/S2-trial1.jpg,3,snowman,snowmen,1,4,3,beanie,a beanie,3,a scarf,3,gloves,2,a belt,2,1.11001E+15,E3/S2-trial2.jpg,1,face,faces,1,3,2,mustache,a hat,2,glasses,3,a mustache,3,a tie,2,1.10111E+13,E3/S2-trial3.jpg,2,sundae,sundaes,4,2,3,whipped cream,a cherry,3,whipped cream,2,chocolate sauce,2,a banana,3,1.1101E+14,20,10,50,50,20,20,20,10,20,10,50,20,3,2,3,3,3,2,2,3,2,1,2,3,,,
27MJ3NAB6BFMY8UYUNK1ZJFE3T4TGN,2JJ45UUKQOYG6B21JXZOM01072OWES,"Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of bugs. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game",$0.15 ,Fri Aug 31 04:39:46 GMT 2012,1,BatchId:897582;,600,604800,Mon Sep 10 04:39:46 GMT 2012,,,291O9Z6KW4ZMTSNHNWCFW0OQ6VC5E2,A6TWB8S8WRZ5M,Submitted,Fri Aug 31 06:22:12 GMT 2012,Fri Aug 31 06:24:43 GMT 2012,Thu Sep 06 23:24:43 PDT 2012,,,,151,0% (0/0),0% (0/0),0% (0/0),3,1.10101E+13,E3/S3-trial1.jpg,3,snowman,snowmen,2,4,3,beanie,a beanie,3,a scarf,2,gloves,2,a belt,3,1.11001E+15,E3/S3-trial2.jpg,1,face,faces,3,1,2,mustache,a hat,2,glasses,2,a mustache,3,a tie,3,1.00101E+15,E3/S3-trial3.jpg,2,sundae,sundaes,3,4,1,chocolate,a cherry,3,whipped cream,2,chocolate sauce,2,a banana,3,1.0111E+15,100,100,,,,,,,,100,,,3,2,3,2,2,2,2,3,2,3,3,3,understanding of odds,,
21Z1Q6SVQ8H8RFWU2QWOHVCJO69N4T,2JJ45UUKQOYG6B21JXZOM01072OWES,"Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of bugs. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game",$0.15 ,Fri Aug 31 04:39:46 GMT 2012,1,BatchId:897582;,600,604800,Mon Sep 10 04:39:46 GMT 2012,,,26KBRI8IUB2YD2EJDXKLH3L3YC35HJ,AIM6UIPPVF05M,Submitted,Fri Aug 31 12:35:26 GMT 2012,Fri Aug 31 12:38:34 GMT 2012,Fri Sep 07 05:38:34 PDT 2012,,,,188,0% (0/0),0% (0/0),0% (0/0),4,1.10101E+13,E3/S4-trial1.jpg,1,face,faces,2,3,4,mustache,a hat,3,glasses,2,a mustache,3,a tie,2,1.0111E+15,E3/S4-trial2.jpg,3,sundae,sundaes,2,3,1,chocolate,a cherry,2,whipped cream,3,chocolate sauce,3,a banana,2,1.01101E+14,E3/S4-trial3.jpg,2,snowman,snowmen,2,4,1,beanie,a beanie,2,a scarf,3,gloves,3,a belt,2,1.01111E+14,0,35,0,50,25,35,50,25,0,50,30,0,3,2,2,2,3,3,3,3,3,2,2,2,No clue.,,
2RT6BFMFFOYY1M7TFK4GKSC1EC9LYB,2JJ45UUKQOYG6B21JXZOM01072OWES,"Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of bugs. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game",$0.15 ,Fri Aug 31 04:39:46 GMT 2012,1,BatchId:897582;,600,604800,Mon Sep 10 04:39:46 GMT 2012,,,2KRHHRRLFQ0O6G1RD6BHU9EJAC7PG6,A1NMKXK04PZ6KK,Submitted,Fri Aug 31 11:17:37 GMT 2012,Fri Aug 31 11:21:15 GMT 2012,Fri Sep 07 04:21:15 PDT 2012,,,,218,100% (1/1),0% (0/0),0% (0/0),5,1.10101E+13,E3/S5-trial1.jpg,1,snowman,snowmen,4,2,3,beanie,a beanie,3,a scarf,3,gloves,2,a belt,2,1.11111E+14,E3/S5-trial2.jpg,3,face,faces,4,2,1,tie,a hat,2,glasses,2,a mustache,3,a tie,3,1.11001E+13,E3/S5-trial3.jpg,2,sundae,sundaes,4,1,2,banana,a cherry,3,whipped cream,3,chocolate sauce,2,a banana,2,1.10101E+15,0,0,50,0,0,100,0,100,0,0,0,50,3,2,3,3,2,3,2,3,2,2,3,2,no idea,,
29AZVXX2Q45UDDWOULEI21NTV3T8Q9,2JJ45UUKQOYG6B21JXZOM01072OWES,"Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of bugs. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game",$0.15 ,Fri Aug 31 04:39:46 GMT 2012,1,BatchId:897582;,600,604800,Mon Sep 10 04:39:46 GMT 2012,,,2118D8J3VE7WBLZNUH73SCKBTTTYIQ,A3LA0EO1V1T8YL,Submitted,Fri Aug 31 10:25:26 GMT 2012,Fri Aug 31 10:28:11 GMT 2012,Fri Sep 07 03:28:11 PDT 2012,,,,165,0% (0/0),0% (0/0),0% (0/0),6,1.10101E+13,E3/S6-trial1.jpg,2,face,faces,1,4,3,mustache,a hat,2,glasses,3,a mustache,2,a tie,3,1.11011E+13,E3/S6-trial2.jpg,1,sundae,sundaes,1,3,4,banana,a cherry,3,whipped cream,2,chocolate sauce,2,a banana,3,1.11011E+14,E3/S6-trial3.jpg,3,snowman,snowmen,3,1,2,scarf,a beanie,2,a scarf,3,gloves,2,a belt,3,1.10011E+14,50,34,0,0,0,0,33,50,33,33,33,34,2,3,2,3,2,3,2,2,2,3,3,3,how you see things,,
2J5JKM05BMJTDA4WYLKPFRA8FK9DIH,2JJ45UUKQOYG6B21JXZOM01072OWES,"Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of bugs. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game",$0.15 ,Fri Aug 31 04:39:46 GMT 2012,1,BatchId:897582;,600,604800,Mon Sep 10 04:39:46 GMT 2012,,,24DF395SW6NGK8Y3J3EJHYF4YZ8FTG,A23BMD8M0RLV77,Submitted,Fri Aug 31 04:40:20 GMT 2012,Fri Aug 31 04:43:27 GMT 2012,Thu Sep 06 21:43:27 PDT 2012,,,,187,0% (0/0),0% (0/0),0% (0/0),7,1.10101E+13,E3/S7-trial1.jpg,1,snowman,snowmen,4,1,2,gloves,a beanie,2,a scarf,3,gloves,3,a belt,2,1.10111E+14,E3/S7-trial2.jpg,2,face,faces,4,2,3,hat,a hat,2,glasses,3,a mustache,3,a tie,2,1.01101E+14,E3/S7-trial3.jpg,3,sundae,sundaes,2,3,1,cherry,a cherry,3,whipped cream,3,chocolate sauce,2,a banana,2,1.1011E+15,5,0,20,5,85,50,20,5,0,40,50,20,2,2,3,3,3,3,3,3,2,2,2,2,Just a wild guess--how context affects rather we assume the word refers to the presence or absence of an attribute.,,
20Y5TYMNCWYBN2L9OXJH311KB25OK0,2JJ45UUKQOYG6B21JXZOM01072OWES,"Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of bugs. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game",$0.15 ,Fri Aug 31 04:39:46 GMT 2012,1,BatchId:897582;,600,604800,Mon Sep 10 04:39:46 GMT 2012,,,2FPH0JPPSI2KH7VLOUY5QLM9FJTOI4,A1QHVTP25BD70T,Submitted,Fri Aug 31 09:00:03 GMT 2012,Fri Aug 31 09:03:05 GMT 2012,Fri Sep 07 02:03:05 PDT 2012,,,,182,0% (0/0),0% (0/0),0% (0/0),8,1.10101E+13,E3/S8-trial1.jpg,1,snowman,snowmen,1,2,4,beanie,a beanie,3,a scarf,3,gloves,2,a belt,2,1.10101E+15,E3/S8-trial2.jpg,2,sundae,sundaes,4,3,1,banana,a cherry,2,whipped cream,3,chocolate sauce,3,a banana,2,1.0101E+15,E3/S8-trial3.jpg,3,face,faces,3,4,2,mustache,a hat,2,glasses,3,a mustache,3,a tie,2,1.01011E+15,80,0,20,10,0,0,60,10,60,20,40,0,3,2,2,3,3,3,2,3,3,2,2,2,about communication in 1 word,,
2H3WSBRI8IUBLR094O8SZLB48FRF3T,2JJ45UUKQOYG6B21JXZOM01072OWES,"Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of bugs. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game",$0.15 ,Fri Aug 31 04:39:47 GMT 2012,1,BatchId:897582;,600,604800,Mon Sep 10 04:39:47 GMT 2012,,,2RX7DZKPFE4EZ6NDI7WLEI9QIXMF5R,AT7WJTWW3BC2F,Submitted,Fri Aug 31 12:25:54 GMT 2012,Fri Aug 31 12:27:07 GMT 2012,Fri Sep 07 05:27:07 PDT 2012,,,,73,100% (1/1),100% (1/1),0% (0/0),9,1.10101E+13,E3/S9-trial1.jpg,2,snowman,snowmen,1,3,2,scarf,a beanie,3,a scarf,2,gloves,3,a belt,2,1.1101E+15,E3/S9-trial2.jpg,1,sundae,sundaes,2,3,1,chocolate,a cherry,2,whipped cream,3,chocolate sauce,3,a banana,2,1.11011E+13,E3/S9-trial3.jpg,3,face,faces,3,1,4,glasses,a hat,2,glasses,3,a mustache,2,a tie,3,1.10111E+13,50,34,0,0,50,33,33,0,33,33,,34,3,2,2,2,3,3,3,3,2,2,2,3,,,
2VG5COW0LGRZM1IRBQ361NU0JS3Y7E,2JJ45UUKQOYG6B21JXZOM01072OWES,"Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of bugs. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game",$0.15 ,Fri Aug 31 04:39:47 GMT 2012,1,BatchId:897582;,600,604800,Mon Sep 10 04:39:47 GMT 2012,,,2O3DPGFL6VCPFSFRJINIUV1VQS85KM,A3SILLNE9IAWH8,Submitted,Fri Aug 31 06:23:34 GMT 2012,Fri Aug 31 06:26:50 GMT 2012,Thu Sep 06 23:26:50 PDT 2012,,,,196,0% (0/0),0% (0/0),0% (0/0),10,1.10101E+13,E3/S10-trial1.jpg,2,snowman,snowmen,2,1,3,belt,a beanie,3,a scarf,3,gloves,2,a belt,2,1.11111E+14,E3/S10-trial2.jpg,3,face,faces,3,2,1,mustache,a hat,2,glasses,3,a mustache,3,a tie,2,1.11101E+13,E3/S10-trial3.jpg,1,sundae,sundaes,4,1,3,banana,a cherry,3,whipped cream,2,chocolate sauce,2,a banana,3,1.11001E+15,70,30,60,30,0,0,0,0,70,40,0,0,3,2,3,3,3,2,2,3,2,2,2,3,Visual clues in communication,,
