expt,matrix,nrows,level,target.feature,target.referent,distractor.referent,other.referent
E0,"""0/0/0/1/1/1""",3,0,1,3,2,1
E0,"""0/0/0/1/1/1""",3,1,2,2,3,1
E1,"""0/0/1/0/1/1/1/1/0""",3,0,1,3,1,2
E1,"""0/0/1/0/1/1/1/1/0""",3,1,3,1,2,3
E1,"""0/0/1/0/1/1/1/1/0""",3,2,2,2,3,1
E2,"""0/1/1/0/1/1/1/0/1""",3,0,1,3,1,2
E2,"""0/1/1/0/1/1/1/0/1""",3,1,2,1,2,3
E2,"""0/1/1/0/1/1/1/0/1""",3,2,3,1,2,3
E0S_targ,"""0/0/0/1/1/1""",3,0,1,3,2,1
E0S_targ,"""0/0/0/1/1/1""",3,1,2,2,3,1
E0S_dist,"""0/0/0/1/1/1""",3,0,1,3,2,1
E0S_dist,"""0/0/0/1/1/1""",3,1,2,2,3,1
E1S_targ,"""0/0/1/0/1/1/1/1/0""",3,0,1,3,1,2
E1S_targ,"""0/0/1/0/1/1/1/1/0""",3,1,3,1,2,3
E1S_targ,"""0/0/1/0/1/1/1/1/0""",3,2,2,2,3,1
E1S_dist,"""0/0/1/0/1/1/1/1/0""",3,0,1,3,1,2
E1S_dist,"""0/0/1/0/1/1/1/1/0""",3,1,3,1,2,3
E1S_dist,"""0/0/1/0/1/1/1/1/0""",3,2,2,2,3,1
E0S_targ_phrase,"""0/0/0/1/1/1""",3,0,1,3,2,1
E0S_targ_phrase,"""0/0/0/1/1/1""",3,1,2,2,3,1
E0S_dist_phrase,"""0/0/0/1/1/1""",3,0,1,3,2,1
E0S_dist_phrase,"""0/0/0/1/1/1""",3,1,2,2,3,1
