expt,matrix,level,target.feature,target.referent,distractor.referent,other.referent
E0,"""0/0/0/1/1/1""",0,1,3,2,1
E0,"""0/0/0/1/1/1""",1,2,2,3,1
E1,"""0/0/1/0/1/1/1/1/0""",0,1,3,1,2
E1,"""0/0/1/0/1/1/1/1/0""",1,3,1,2,3
E1,"""0/0/1/0/1/1/1/1/0""",2,2,2,3,1
E2,"""0/1/1/0/1/1/1/0/1""",0,1,3,1,2
E2,"""0/1/1/0/1/1/1/0/1""",1,2,1,2,3
E2,"""0/1/1/0/1/1/1/0/1""",2,3,1,2,3
FG,"""0/0/1/0/0/1/1/1/0/1/1/0""",1/1,,,,
FG,"""0/1/1/0/0/1/1/1/0/1/1/0""",1/2,,,,
FG,,1/3,,,,
FG,,2/2 asym,,,,
FG,,2/2 sym,,,,
FG,,2/3,,,,
FG,,3/3,,,,
