"Matrix","Nrow","Ncol","IBRDepth","IBRSpkSep","IBRLisSep"
"0000000000000000000011111",5,5,4,FALSE,FALSE
"0000000000000000000111110",5,5,3,FALSE,TRUE
"0000000000000000000111111",5,5,3,FALSE,TRUE
"0000000000000000001111100",5,5,3,FALSE,TRUE
"0000000000000000001111101",5,5,3,FALSE,TRUE
"0000000000000000001111111",5,5,3,FALSE,TRUE
"0000000000000000011111000",5,5,3,FALSE,TRUE
"0000000000000000011111001",5,5,5,FALSE,FALSE
"0000000000000000011111011",5,5,3,FALSE,TRUE
"0000000000000000011111111",5,5,3,FALSE,TRUE
"0000000000000000111110000",5,5,3,FALSE,TRUE
"0000000000000000111110001",5,5,3,FALSE,TRUE
"0000000000000000111110011",5,5,3,FALSE,TRUE
"0000000000000000111110111",5,5,5,FALSE,FALSE
"0000000000000000111111111",5,5,3,FALSE,TRUE
"0000000000000001111111111",5,5,4,FALSE,FALSE
"0000000000000010000111110",5,5,3,FALSE,FALSE
"0000000000000010000111111",5,5,3,FALSE,FALSE
"0000000000000010001011100",5,5,3,FALSE,TRUE
"0000000000000010001011101",5,5,3,FALSE,TRUE
"0000000000000010001011110",5,5,3,FALSE,TRUE
"0000000000000010001011111",5,5,3,FALSE,TRUE
"0000000000000010001111100",5,5,3,FALSE,TRUE
"0000000000000010001111101",5,5,3,FALSE,TRUE
"0000000000000010001111110",5,5,3,FALSE,TRUE
"0000000000000010001111111",5,5,3,FALSE,TRUE
"0000000000000010011011000",5,5,3,FALSE,TRUE
"0000000000000010011011001",5,5,3,FALSE,TRUE
"0000000000000010011011010",5,5,3,FALSE,TRUE
"0000000000000010011011011",5,5,3,FALSE,TRUE
"0000000000000010011011110",5,5,3,FALSE,TRUE
"0000000000000010011011111",5,5,3,FALSE,TRUE
"0000000000000010011111000",5,5,3,FALSE,TRUE
"0000000000000010011111001",5,5,3,FALSE,TRUE
"0000000000000010011111010",5,5,5,FALSE,FALSE
"0000000000000010011111011",5,5,3,FALSE,TRUE
"0000000000000010011111110",5,5,3,FALSE,TRUE
"0000000000000010011111111",5,5,3,FALSE,TRUE
"0000000000000010111010000",5,5,3,FALSE,TRUE
"0000000000000010111010001",5,5,3,FALSE,TRUE
"0000000000000010111010010",5,5,3,FALSE,TRUE
"0000000000000010111010011",5,5,5,FALSE,FALSE
"0000000000000010111010110",5,5,5,FALSE,FALSE
"0000000000000010111010111",5,5,3,FALSE,TRUE
"0000000000000010111011110",5,5,3,FALSE,TRUE
"0000000000000010111011111",5,5,3,FALSE,TRUE
"0000000000000010111110000",5,5,3,FALSE,TRUE
"0000000000000010111110001",5,5,3,FALSE,TRUE
"0000000000000010111110010",5,5,3,FALSE,TRUE
"0000000000000010111110011",5,5,3,FALSE,TRUE
"0000000000000010111110110",5,5,3,FALSE,TRUE
"0000000000000010111110111",5,5,5,FALSE,FALSE
"0000000000000010111111110",5,5,4,FALSE,TRUE
"0000000000000010111111111",5,5,3,FALSE,TRUE
"0000000000000011111011110",5,5,3,FALSE,FALSE
"0000000000000011111011111",5,5,3,FALSE,TRUE
"0000000000000011111111111",5,5,3,FALSE,FALSE
"0000000000000101110111110",5,5,4,FALSE,TRUE
"0000000000000110001111100",5,5,3,FALSE,FALSE
"0000000000000110001111101",5,5,3,FALSE,FALSE
"0000000000000110001111111",5,5,3,FALSE,FALSE
"0000000000000110010011000",5,5,3,FALSE,TRUE
"0000000000000110010011001",5,5,3,FALSE,TRUE
"0000000000000110010011011",5,5,3,FALSE,TRUE
