"hitNum","originalMatrix","filenameTrial1","levelTrial1","stimSingularTrial1","stimPluralTrial1","targetReferentTrial1","distractorReferentTrial1","otherReferentTrial1","targetFeatureTrial1","check1NameTrial1","check1CountTrial1","check2NameTrial1","check2CountTrial1","permutedMatrix1","targetReferencePhraseTrial1","filenameTrial2","levelTrial2","stimSingularTrial2","stimPluralTrial2","targetReferentTrial2","distractorReferentTrial2","otherReferentTrial2","targetFeatureTrial2","check1NameTrial2","check1CountTrial2","check2NameTrial2","check2CountTrial2","permutedMatrix2","targetReferencePhraseTrial2"
1,"001011000","E0S_targ_phrase-stims/S1-trial1.jpg",1,"face","faces",1,3,2,"hat","a hat",2,"glasses",1,"101001000","one on the left","E0S_targ_phrase-stims/S1-trial2.jpg",0,"sundae","sundaes",1,3,2,"chocolate","a cherry",2,"chocolate sauce",1,"101000100","one on the left"
2,"001011000","E0S_targ_phrase-stims/S2-trial1.jpg",0,"snowman","snowmen",1,3,2,"gloves","a beanie",2,"gloves",1,"101000100","one on the left","E0S_targ_phrase-stims/S2-trial2.jpg",1,"face","faces",1,3,2,"hat","a hat",2,"glasses",1,"101001000","one on the left"
3,"001011000","E0S_targ_phrase-stims/S3-trial1.jpg",0,"face","faces",3,1,2,"hat","a hat",1,"a mustache",2,"001000101","one on the right","E0S_targ_phrase-stims/S3-trial2.jpg",1,"sundae","sundaes",1,3,2,"whipped cream","a cherry",1,"whipped cream",2,"001101000","one on the left"
4,"001011000","E0S_targ_phrase-stims/S4-trial1.jpg",1,"face","faces",2,1,3,"hat","a hat",2,"a mustache",1,"110000100","one in the middle","E0S_targ_phrase-stims/S4-trial2.jpg",0,"snowman","snowmen",3,2,1,"scarf","a beanie",2,"a scarf",1,"011001000","one on the right"
5,"001011000","E0S_targ_phrase-stims/S5-trial1.jpg",0,"face","faces",1,2,3,"glasses","glasses",1,"a mustache",2,"000100110","one on the left","E0S_targ_phrase-stims/S5-trial2.jpg",1,"snowman","snowmen",2,3,1,"scarf","a scarf",2,"gloves",1,"000011001","one in the middle"
6,"001011000","E0S_targ_phrase-stims/S6-trial1.jpg",1,"face","faces",1,3,2,"mustache","glasses",1,"a mustache",2,"000001101","one on the left","E0S_targ_phrase-stims/S6-trial2.jpg",0,"sundae","sundaes",2,1,3,"cherry","a cherry",1,"chocolate sauce",2,"010000110","one in the middle"
7,"001011000","E0S_targ_phrase-stims/S7-trial1.jpg",1,"sundae","sundaes",1,2,3,"whipped cream","a cherry",1,"whipped cream",2,"010110000","one on the left","E0S_targ_phrase-stims/S7-trial2.jpg",0,"face","faces",3,2,1,"mustache","a hat",2,"a mustache",1,"011000001","one on the right"
8,"001011000","E0S_targ_phrase-stims/S8-trial1.jpg",0,"face","faces",2,3,1,"hat","a hat",1,"glasses",2,"010011000","one in the middle","E0S_targ_phrase-stims/S8-trial2.jpg",1,"sundae","sundaes",1,3,2,"whipped cream","a cherry",1,"whipped cream",2,"001101000","one on the left"
9,"001011000","E0S_targ_phrase-stims/S9-trial1.jpg",0,"snowman","snowmen",3,2,1,"beanie","a beanie",1,"gloves",2,"001000011","one on the right","E0S_targ_phrase-stims/S9-trial2.jpg",1,"sundae","sundaes",3,2,1,"chocolate","a cherry",1,"chocolate sauce",2,"010000011","one on the right"
10,"001011000","E0S_targ_phrase-stims/S10-trial1.jpg",1,"snowman","snowmen",1,3,2,"scarf","a scarf",2,"gloves",1,"000101001","one on the left","E0S_targ_phrase-stims/S10-trial2.jpg",0,"face","faces",2,3,1,"glasses","glasses",1,"a mustache",2,"000010011","one in the middle"
11,"001011000","E0S_targ_phrase-stims/S11-trial1.jpg",0,"sundae","sundaes",2,3,1,"whipped cream","a cherry",2,"whipped cream",1,"011010000","one in the middle","E0S_targ_phrase-stims/S11-trial2.jpg",1,"snowman","snowmen",2,3,1,"gloves","a scarf",1,"gloves",2,"000001011","one in the middle"
12,"001011000","E0S_targ_phrase-stims/S12-trial1.jpg",0,"sundae","sundaes",1,3,2,"whipped cream","whipped cream",1,"chocolate sauce",2,"000100101","one on the left","E0S_targ_phrase-stims/S12-trial2.jpg",1,"face","faces",1,3,2,"glasses","a hat",1,"glasses",2,"001101000","one on the left"
13,"001011000","E0S_targ_phrase-stims/S13-trial1.jpg",1,"snowman","snowmen",3,1,2,"gloves","a beanie",1,"gloves",2,"100000101","one on the right","E0S_targ_phrase-stims/S13-trial2.jpg",0,"sundae","sundaes",1,2,3,"whipped cream","whipped cream",1,"chocolate sauce",2,"000100110","one on the left"
